# clear enable in_valid activation weight expected_out_valid expected_acc
1 1 0 0 0 0 0
0 1 1 -68 35 0 0
0 1 1 -76 -14 1 -2380
0 1 0 123 97 1 -1316
1 1 1 -78 102 0 0
0 1 1 32 -21 0 0
0 1 0 54 64 1 -672
0 1 1 46 -83 0 -672
0 1 1 30 -116 1 -4490
0 1 1 -82 76 1 -7970
0 1 1 89 123 1 -14202
0 1 1 117 -116 1 -3255
0 1 1 -76 91 1 -16827
0 1 1 -66 105 1 -23743
0 1 1 0 77 1 -30673
0 1 1 117 77 1 -30673
0 1 1 -112 -52 1 -21664
0 1 1 122 56 1 -15840
0 1 1 126 94 1 -9008
0 0 1 34 106 0 -9008
0 1 1 4 103 1 2836
0 1 1 117 -96 1 3248
0 1 0 -29 82 1 -7984
0 1 0 103 -86 0 -7984
0 1 0 -106 9 0 -7984
0 1 1 32 123 0 -7984
0 1 1 114 -61 1 -4048
0 1 1 -85 85 1 -11002
0 1 1 28 82 1 -18227
0 1 0 64 -121 1 -15931
0 1 0 49 52 0 -15931
0 1 1 115 39 0 -15931
0 1 0 126 110 1 -11446
0 1 1 -23 94 0 -11446
1 1 0 -93 76 0 0
0 1 1 -104 103 0 0
0 1 1 -118 -62 1 -10712
0 1 1 -58 -46 1 -3396
0 1 0 84 -88 1 -728
0 1 1 109 126 0 -728
0 1 1 -38 38 1 13006
0 1 1 12 -80 1 11562
0 1 1 104 41 1 10602
0 1 1 -35 -115 1 14866
0 1 1 -18 -72 1 18891
0 1 0 -19 22 1 20187
0 1 1 7 -79 0 20187
0 1 1 54 -34 1 19634
0 1 1 -96 21 1 17798
0 1 1 -121 82 1 15782
0 0 0 -121 -99 0 15782
0 1 1 51 33 1 5860
0 1 1 -109 78 1 7543
0 1 1 -67 63 1 -959
0 1 1 71 21 1 -5180
0 1 1 95 -116 1 -3689
0 1 1 -66 24 1 -14709
0 1 0 47 -27 1 -16293
1 1 1 -66 -68 0 0
0 1 1 26 -114 0 0
0 1 1 65 -6 1 -2964
0 1 1 -35 -114 1 -3354
0 1 0 75 2 1 636
0 1 1 117 85 0 636
0 1 1 -83 -37 1 10581
0 1 1 7 46 1 13652
0 1 1 -123 -4 1 13974
0 1 1 -51 76 1 14466
0 1 1 13 47 1 10590
0 1 1 106 114 1 11201
0 1 1 -47 82 1 23285
0 0 1 81 -109 0 23285
0 1 1 7 -58 1 19431
0 1 1 -17 29 1 19025
0 1 1 -48 -75 1 18532
1 1 1 5 30 0 0
0 1 0 -45 21 0 0
0 1 1 70 -32 0 0
0 1 1 117 88 1 -2240
0 1 0 -41 -113 1 8056
0 0 1 -69 -127 0 8056
0 1 1 -50 -1 0 8056
0 1 0 -91 67 1 8106
0 1 1 114 127 0 8106
0 1 0 105 48 1 22584
0 1 0 125 31 0 22584
0 1 1 93 41 0 22584
0 1 1 124 78 1 26397
0 1 1 50 51 1 36069
0 1 0 -49 98 1 38619
0 1 1 9 40 0 38619
0 1 1 99 6 1 38979
0 1 1 -55 -65 1 39573
0 1 1 76 -117 1 43148
0 1 1 -80 125 1 34256
0 1 1 -21 89 1 24256
0 1 0 -40 -123 1 22387
0 1 0 84 115 0 22387
0 1 1 -16 -67 0 22387
0 1 1 -21 106 1 23459
0 1 1 -32 -123 1 21233
0 1 1 109 -23 1 25169
0 1 1 85 -60 1 22662
0 1 1 -34 -10 1 17562
0 1 1 46 47 1 17902
1 1 0 39 0 0 0
0 1 1 59 1 0 0
0 0 1 76 27 0 0
0 1 1 -95 24 1 59
0 1 0 38 122 1 -2221
0 1 1 -39 3 0 -2221
0 1 0 68 -74 1 -2338
0 1 0 -5 -21 0 -2338
0 1 0 -20 10 0 -2338
0 1 1 38 58 0 -2338
0 1 0 -32 -51 1 -134
0 1 1 -55 -61 0 -134
0 1 0 -111 15 1 3221
0 1 1 8 54 0 3221
0 1 1 -33 -50 1 3653
0 1 1 -114 25 1 5303
0 1 1 110 80 1 2453
1 0 1 -108 113 0 0
0 1 0 3 40 0 0
0 1 1 -82 88 0 0
0 1 1 -5 -13 1 -7216
0 1 1 88 88 1 -7151
0 1 1 30 97 1 593
0 0 1 -20 -28 0 593
0 1 0 -48 -70 1 3503
0 1 1 91 -113 0 3503
0 1 1 9 19 1 -6780
0 1 0 107 11 1 -6609
0 1 1 -55 -15 0 -6609
0 1 0 -104 39 1 -5784
0 1 1 111 49 0 -5784
0 0 0 -78 13 0 -5784
0 1 1 103 -73 1 -345
0 1 1 105 117 1 -7864
0 1 1 -115 -75 1 4421
0 0 1 -119 -105 0 4421
0 1 1 -67 43 1 13046
0 1 1 36 111 1 10165
1 1 0 32 86 0 0
0 1 1 -32 -70 0 0
0 1 0 -120 127 1 2240
0 1 1 110 -57 0 2240
0 1 0 93 -115 1 -4030
0 1 1 -66 60 0 -4030
0 1 1 106 79 1 -7990
0 1 0 84 77 1 384
0 0 0 -42 8 0 384
0 1 1 -110 -17 0 384
0 0 1 -69 101 0 384
0 1 1 111 -111 1 2254
0 1 0 118 -104 1 -10067
0 1 1 -24 -125 0 -10067
0 1 0 4 -92 1 -7067
0 1 1 -7 125 0 -7067
0 0 1 73 109 0 -7067
0 1 1 -83 97 1 -7942
0 1 1 -26 44 1 -15993
1 0 1 111 -81 0 0
0 1 1 -4 114 0 0
0 1 1 -39 125 1 -456
0 1 1 -83 126 1 -5331
0 1 1 54 -86 1 -15789
0 1 1 -7 -69 1 -20433
0 0 0 -37 29 0 -20433
0 1 1 -39 106 1 -19950
0 1 1 -47 116 1 -24084
0 1 1 31 -53 1 -29536
0 1 1 23 -51 1 -31179
0 1 1 -66 -79 1 -32352
0 1 1 69 12 1 -27138
0 1 1 24 0 1 -26310
0 1 1 32 -42 1 -26310
0 1 1 22 78 1 -27654
0 1 1 -77 -11 1 -25938
0 1 1 74 -22 1 -25091
0 1 1 65 6 1 -26719
0 1 1 26 -109 1 -26329
0 1 1 92 -64 1 -29163
0 1 1 -98 29 1 -35051
0 1 1 24 83 1 -37893
0 1 1 18 51 1 -35901
0 1 1 -16 -122 1 -34983
0 1 1 58 -4 1 -33031
0 1 1 -114 -74 1 -33263
0 1 0 114 -48 1 -24827
0 1 1 -85 -77 0 -24827
0 1 1 49 -78 1 -18282
0 1 1 -79 -95 1 -22104
0 1 0 83 -78 1 -14599
0 1 1 120 46 0 -14599
0 1 0 -52 99 1 -9079
0 1 1 88 -61 0 -9079
0 1 1 -96 98 1 -14447
0 1 0 -78 -104 1 -23855
0 1 0 -1 89 0 -23855
0 1 1 -56 29 0 -23855
0 1 0 0 0 1 -25479
