# clear enable in_valid activation weight expected_out_valid expected_acc
1 1 0 0 0 0 0
0 1 1 -71 -116 0 0
0 1 1 12 -3 1 8236
0 1 1 -14 -57 1 8200
0 1 1 -76 -84 1 8998
0 1 1 88 -112 1 15382
0 1 1 -113 -81 1 5526
0 1 1 -17 -9 1 14679
0 1 1 -115 -27 1 14832
0 1 1 86 -16 1 17937
0 1 1 101 14 1 16561
0 1 1 -125 -47 1 17975
0 1 1 88 46 1 23850
0 1 1 14 -49 1 27898
0 1 1 -18 44 1 27212
0 1 1 -76 -81 1 26420
0 1 1 66 -79 1 32576
0 1 1 55 48 1 27362
0 1 1 7 -106 1 30002
0 1 1 107 -65 1 29260
0 1 1 65 -88 1 22305
0 1 1 22 57 1 16585
0 1 1 -30 -93 1 17839
0 1 1 -105 -12 1 20629
0 1 1 20 -88 1 21889
0 1 1 -9 -77 1 20129
0 1 1 66 14 1 20822
0 1 1 104 58 1 21746
0 1 1 -45 61 1 27778
0 1 1 53 -21 1 25033
0 1 1 8 -92 1 23920
0 1 1 -41 -3 1 23184
0 1 1 -45 108 1 23307
0 1 1 66 10 1 18447
0 1 1 -16 38 1 19107
0 1 1 -100 -11 1 18499
0 1 1 -112 33 1 19599
0 1 1 77 9 1 15903
0 1 1 -95 -20 1 16596
0 1 1 33 -20 1 18496
0 1 1 127 74 1 17836
0 1 1 106 -55 1 27234
0 1 1 7 -57 1 21404
0 1 1 -2 6 1 21005
0 1 1 91 76 1 20993
0 1 1 57 -16 1 27909
0 1 1 -58 124 1 26997
0 1 1 -82 -104 1 19805
0 1 1 -72 -50 1 28333
0 1 1 -47 88 1 31933
0 1 1 -96 69 1 27797
0 1 1 67 111 1 21173
0 1 1 0 -123 1 28610
0 1 1 -70 8 1 28610
0 1 1 46 -71 1 28050
0 1 1 22 94 1 24784
0 1 1 -48 104 1 26852
0 1 1 -127 6 1 21860
0 1 1 -37 -74 1 21098
0 1 1 24 -27 1 23836
0 1 1 -50 63 1 23188
0 1 1 -46 -128 1 20038
0 1 1 37 122 1 25926
0 1 1 -119 -71 1 30440
0 1 1 57 29 1 38889
0 1 1 -6 -99 1 40542
0 1 1 -5 -88 1 41136
0 1 1 -85 120 1 41576
0 1 1 -93 -64 1 31376
0 1 1 -63 115 1 37328
0 1 1 -44 7 1 30083
0 1 1 88 -20 1 29775
0 1 1 -26 31 1 28015
0 1 1 76 63 1 27209
0 1 1 96 103 1 31997
0 1 1 -67 -2 1 41885
0 1 1 -13 -96 1 42019
0 1 1 45 -118 1 43267
0 1 1 -11 -16 1 37957
0 1 1 -125 -92 1 38133
0 1 1 -98 -11 1 49633
0 1 1 -94 -112 1 50711
0 1 1 41 -92 1 61239
0 1 1 -7 14 1 57467
0 1 1 120 -19 1 57369
0 1 1 -61 114 1 55089
0 1 1 -4 114 1 48135
0 1 1 80 -31 1 47679
0 1 1 -80 -79 1 45199
0 1 1 92 53 1 51519
0 1 1 88 82 1 56395
0 1 1 111 -101 1 63611
0 1 1 -78 -97 1 52400
0 1 1 78 45 1 59966
0 1 1 -73 -1 1 63476
0 1 1 -30 -31 1 63549
0 1 1 101 -57 1 64479
0 1 1 88 -35 1 58722
0 1 1 14 108 1 55642
0 1 1 -1 -90 1 57154
0 1 1 98 -78 1 57244
0 1 0 0 0 1 49600
